algorithm,N,sample,runtime_s,frechet_dist,maxrss_before_mb,maxrss_after_mb,minor_faults,major_faults,block_input_ops,block_output_ops,voluntary_ctx_switches,involuntary_ctx_switches,user_time_s,sys_time_s,blocked_time_s,status,repeat
BBMSDppStepwise,1400,0,0.638699,0,6.49219,421.594,107447,0,0,0,0,2,0.538453,0.100216,3.032e-05,ok,1
DijkstraPrims,1400,0,0.000452418,0,6.49609,6.49609,69,0,0,0,0,0,0.000459,0,-6.582e-06,ok,1
BBMSCore,1400,0,1.02974,0,6.49609,48.4961,11500,0,0,0,0,5,1.02237,0.007335,3.5435e-05,ok,2
BBMSInter,1400,0,0.300261,0,6.49609,108.223,26812,0,0,0,0,2,0.259814,0.040405,4.2351e-05,ok,2
BBMSDppInstant,1400,0,0.607226,0,6.49609,437.137,111418,0,0,0,0,4,0.487212,0.119974,4.0399e-05,ok,2
BBMSDppStepwise,1400,0,0.637221,0,6.49609,421.645,107447,0,0,0,0,6,0.477183,0.159957,8.0949e-05,ok,2
DijkstraPrims,1400,0,0.000454452,0,6.49609,6.49609,69,0,0,0,0,0,0.000462,0,-7.548e-06,ok,2
BBMSCore,1400,1,0.958918,0,6.49609,48.5,11500,0,0,0,0,5,0.938784,0.019849,0.000285327,ok,0
BBMSInter,1400,1,0.291465,0,6.5,108.246,26812,0,0,0,0,2,0.260878,0.030556,3.0703e-05,ok,0
BBMSDppInstant,1400,1,0.608982,0,6.5,438.09,111680,0,0,0,0,1,0.480429,0.128545,8.464e-06,ok,0
BBMSDppStepwise,1400,1,0.64211,0,6.5,421.691,107465,0,0,0,0,3,0.512849,0.129233,2.808e-05,ok,0
DijkstraPrims,1400,1,0.000460982,0,6.5,6.5,69,0,0,0,0,0,0.00047,0,-9.018e-06,ok,0
BBMSCore,1400,1,0.964513,0,6.5,48.4922,11500,0,0,0,0,5,0.94447,0.019966,7.7114e-05,ok,1
BBMSInter,1400,1,0.29098,0,6.5,108.242,26812,0,0,0,0,1,0.250281,0.040691,8.072e-06,ok,1
BBMSDppInstant,1400,1,0.613477,0,6.5,438.094,111680,0,0,0,0,3,0.46402,0.149395,6.1612e-05,ok,1
BBMSDppStepwise,1400,1,0.640558,0,6.5,421.672,107465,0,0,0,0,4,0.519633,0.120853,7.1839e-05,ok,1
DijkstraPrims,1400,1,0.000449845,0,6.5,6.5,69,0,0,0,0,0,0.000458,0,-8.155e-06,ok,1
BBMSCore,1400,1,0.959785,0,6.5,48.4883,11500,0,0,0,0,3,0.939833,0.019869,8.2516e-05,ok,2
BBMSInter,1400,1,0.293269,0,6.5,108.25,26812,0,0,0,0,1,0.262507,0.030755,7.351e-06,ok,2
BBMSDppInstant,1400,1,0.611242,0,6.5,438.078,111680,0,0,0,0,4,0.45241,0.158783,4.9295e-05,ok,2
BBMSDppStepwise,1400,1,0.641115,0,6.5,421.688,107465,0,0,0,0,2,0.510058,0.13104,1.741e-05,ok,2
DijkstraPrims,1400,1,0.000473745,0,6.5,6.5,69,0,0,0,0,0,0.000482,0,-8.255e-06,ok,2
BBMSCore,1400,2,1.04698,0,6.50781,48.4922,11500,0,0,0,0,3,1.03693,0.009926,0.000117543,ok,0
BBMSInter,1400,2,0.275065,0,6.50781,108.242,26812,0,0,0,0,1,0.234989,0.040075,9.55e-07,ok,0
BBMSDppInstant,1400,2,0.598943,0,6.50781,436.93,111340,0,0,0,0,1,0.488146,0.110798,-7.65e-07,ok,0
BBMSDppStepwise,1400,2,0.634895,0,6.50781,421.152,107315,0,0,0,0,4,0.474788,0.16007,3.7488e-05,ok,0
DijkstraPrims,1400,2,0.000455418,0,6.51172,6.51172,69,0,0,0,0,0,0,0.000464,-8.582e-06,ok,0
BBMSCore,1400,2,1.04602,0,6.51172,48.4805,11500,0,0,0,0,5,1.02591,0.020024,7.9708e-05,ok,1
BBMSInter,1400,2,0.277124,0,6.51172,108.246,26812,0,0,0,0,0,0.246857,0.030278,-1.0937e-05,ok,1
BBMSDppInstant,1400,2,0.605436,0,6.51172,436.934,111340,0,0,0,0,4,0.465197,0.140196,4.349e-05,ok,1
