algorithm,pair_index,m,n,cells,runtime_s,frechet_dist,maxrss_before_mb,maxrss_after_mb,minor_faults,major_faults,block_input_ops,block_output_ops,voluntary_ctx_switches,involuntary_ctx_switches,user_time_s,sys_time_s,blocked_time_s,status,repeat
BBMSInter,7,65,59,3835,0.000252288,30,41.043,41.043,55,0,0,0,0,0,0.000259,0,-6.712e-06,ok,2
BBMSDppInstant,7,65,59,3835,0.000882424,30,41.043,41.043,220,0,0,0,0,1,0.000872,0,1.0424e-05,ok,2
BBMSDppStepwise,7,65,59,3835,0.000861153,30,41.043,41.043,212,0,0,0,0,0,0.000867,0,-5.847e-06,ok,2
DijkstraPrims,7,65,59,3835,8.5973e-05,30,41.043,41.043,11,0,0,0,0,0,9.1e-05,0,-5.027e-06,ok,2
BBMSCore,8,65,59,3835,0.000245664,30,41.0469,41.0469,25,0,0,0,0,0,0.00025,0,-4.336e-06,ok,0
BBMSInter,8,65,59,3835,0.00025142,30,41.0469,41.0469,55,0,0,0,0,0,0.000257,0,-5.58e-06,ok,0
BBMSDppInstant,8,65,59,3835,0.000765321,30,41.0469,41.0469,219,0,0,0,0,0,0.000771,0,-5.679e-06,ok,0
BBMSDppStepwise,8,65,59,3835,0.000844849,30,41.0469,41.0469,212,0,0,0,0,0,0,0.00085,-5.151e-06,ok,0
DijkstraPrims,8,65,59,3835,0.000102763,30,41.0469,41.0469,12,0,0,0,0,0,0.000108,0,-5.237e-06,ok,0
BBMSCore,8,65,59,3835,0.000254974,30,41.0469,41.0469,25,0,0,0,0,0,0.00026,0,-5.026e-06,ok,1
BBMSInter,8,65,59,3835,0.000251669,30,41.0469,41.0469,55,0,0,0,0,0,0.000258,0,-6.331e-06,ok,1
BBMSDppInstant,8,65,59,3835,0.000761556,30,41.0469,41.0469,219,0,0,0,0,0,0.000767,0,-5.444e-06,ok,1
BBMSDppStepwise,8,65,59,3835,0.000842697,30,41.0469,41.0469,212,0,0,0,0,0,0.000848,0,-5.303e-06,ok,1
DijkstraPrims,8,65,59,3835,0.000105149,30,41.0469,41.0469,12,0,0,0,0,0,0.000111,0,-5.851e-06,ok,1
BBMSCore,8,65,59,3835,0.00025168,30,41.0469,41.0469,25,0,0,0,0,0,0,0.000257,-5.32e-06,ok,2
BBMSInter,8,65,59,3835,0.000256458,30,41.0469,41.0469,55,0,0,0,0,0,0.000262,0,-5.542e-06,ok,2
BBMSDppInstant,8,65,59,3835,0.000785051,30,41.0469,41.0469,219,0,0,0,0,0,0.00079,0,-4.949e-06,ok,2
BBMSDppStepwise,8,65,59,3835,0.000899447,30,41.0469,41.0469,212,0,0,0,0,0,0,0.000904,-4.553e-06,ok,2
DijkstraPrims,8,65,59,3835,0.000105606,30,41.0469,41.0469,12,0,0,0,0,0,0.000111,0,-5.394e-06,ok,2
BBMSCore,9,65,59,3835,0.00024306,30.06,41.0508,41.0508,25,0,0,0,0,0,0.000249,0,-5.94e-06,ok,0
BBMSInter,9,65,59,3835,0.000240135,30.06,41.0508,41.0508,55,0,0,0,0,0,0.000246,0,-5.865e-06,ok,0
BBMSDppInstant,9,65,59,3835,0.00075112,30.06,41.0508,41.0508,218,0,0,0,0,0,0.000756,0,-4.88e-06,ok,0
BBMSDppStepwise,9,65,59,3835,0.000845357,30.06,41.0508,41.0508,211,0,0,0,0,0,0.00085,0,-4.643e-06,ok,0
DijkstraPrims,9,65,59,3835,0.000182792,30.06,41.0508,41.0508,20,0,0,0,0,0,0.000188,0,-5.208e-06,ok,0
BBMSCore,9,65,59,3835,0.000247007,30.06,41.0508,41.0508,25,0,0,0,0,0,0.000252,0,-4.993e-06,ok,1
BBMSInter,9,65,59,3835,0.000245696,30.06,41.0547,41.0547,55,0,0,0,0,0,0.000252,0,-6.304e-06,ok,1
BBMSDppInstant,9,65,59,3835,0.000771889,30.06,41.0547,41.0547,218,0,0,0,0,0,0.000777,0,-5.111e-06,ok,1
BBMSDppStepwise,9,65,59,3835,0.000841279,30.06,41.0547,41.0547,211,0,0,0,0,0,0.000847,0,-5.721e-06,ok,1
DijkstraPrims,9,65,59,3835,0.000175719,30.06,41.0586,41.0586,20,0,0,0,0,0,0.000181,0,-5.281e-06,ok,1
BBMSCore,9,65,59,3835,0.000242393,30.06,41.0586,41.0586,25,0,0,0,0,0,0.000247,0,-4.607e-06,ok,2
BBMSInter,9,65,59,3835,0.000239507,30.06,41.0586,41.0586,55,0,0,0,0,0,0.000244,0,-4.493e-06,ok,2
BBMSDppInstant,9,65,59,3835,0.000778145,30.06,41.0586,41.0586,218,0,0,0,0,0,0.000783,0,-4.855e-06,ok,2
BBMSDppStepwise,9,65,59,3835,0.000833016,30.06,41.0586,41.0586,211,0,0,0,0,0,0.000839,0,-5.984e-06,ok,2
DijkstraPrims,9,65,59,3835,0.000182425,30.06,41.0586,41.0586,20,0,0,0,0,0,0,0.000187,-4.575e-06,ok,2
BBMSCore,10,65,59,3835,0.000237894,30.06,41.0625,41.0625,25,0,0,0,0,0,0.000243,0,-5.106e-06,ok,0
BBMSInter,10,65,59,3835,0.000248901,30.06,41.0625,41.0625,55,0,0,0,0,0,0,0.000254,-5.099e-06,ok,0
BBMSDppInstant,10,65,59,3835,0.000748924,30.06,41.0625,41.0625,219,0,0,0,0,0,0.000755,0,-6.076e-06,ok,0
BBMSDppStepwise,10,65,59,3835,0.000838509,30.06,41.0625,41.0625,212,0,0,0,0,0,0.000844,0,-5.491e-06,ok,0
DijkstraPrims,10,65,59,3835,0.000121264,30.06,41.0625,41.0625,14,0,0,0,0,0,0.000127,0,-5.736e-06,ok,0
BBMSCore,10,65,59,3835,0.00023794,30.06,41.0625,41.0625,25,0,0,0,0,0,0.000243,0,-5.06e-06,ok,1
BBMSInter,10,65,59,3835,0.00023784,30.06,41.0625,41.0625,55,0,0,0,0,0,0.000243,0,-5.16e-06,ok,1
BBMSDppInstant,10,65,59,3835,0.000764919,30.06,41.0625,41.0625,219,0,0,0,0,0,0.00077,0,-5.081e-06,ok,1
BBMSDppStepwise,10,65,59,3835,0.000875817,30.06,41.0625,41.0625,212,0,0,0,0,0,0.000881,0,-5.183e-06,ok,1
DijkstraPrims,10,65,59,3835,0.000120977,30.06,41.0625,41.0625,14,0,0,0,0,0,0.000127,0,-6.023e-06,ok,1
