algorithm,pair_index,m,n,cells,runtime_s,frechet_dist,maxrss_before_mb,maxrss_after_mb,minor_faults,major_faults,block_input_ops,block_output_ops,voluntary_ctx_switches,involuntary_ctx_switches,user_time_s,sys_time_s,blocked_time_s,status,repeat
BBMSDppStepwise,10,1321,24,31704,0.00544665,9.85963e+06,53.6602,53.6602,1659,0,0,0,0,0,0.005454,0,-7.349e-06,ok,1
DijkstraPrims,10,1321,24,31704,0.00441778,9.85963e+06,53.6602,53.6602,380,0,0,0,0,1,0.004373,0,4.4776e-05,ok,1
BBMSCore,10,1321,24,31704,0.00141067,9.85963e+06,53.6602,53.6602,195,0,0,0,0,0,0.001418,0,-7.334e-06,ok,2
BBMSInter,10,1321,24,31704,0.00132673,9.85963e+06,53.6602,53.6602,443,0,0,0,0,0,0.001333,0,-6.268e-06,ok,2
BBMSDppInstant,10,1321,24,31704,0.0053015,9.85963e+06,53.6602,53.6602,1704,0,0,0,0,0,0,0.005307,-5.503e-06,ok,2
BBMSDppStepwise,10,1321,24,31704,0.0054134,9.85963e+06,53.6602,53.6602,1659,0,0,0,0,0,0.00542,0,-6.599e-06,ok,2
DijkstraPrims,10,1321,24,31704,0.00434333,9.85963e+06,53.6602,53.6602,380,0,0,0,0,0,0.00435,0,-6.668e-06,ok,2
BBMSCore,11,1321,432,570672,2.61747,7.32471e+06,53.6602,53.6602,3354,0,0,0,0,11,2.61685,0,0.000621154,ok,0
BBMSInter,11,1321,432,570672,0.180557,7.32471e+06,53.6602,53.6602,7813,0,0,0,0,0,0.17036,0.010209,-1.1863e-05,ok,0
BBMSDppInstant,11,1321,432,570672,0.118514,7.32471e+06,53.6602,123.312,30723,0,0,0,0,0,0.067794,0.05073,-1e-05,ok,0
BBMSDppStepwise,11,1321,432,570672,0.134717,7.32471e+06,53.6602,119.332,29699,0,0,0,0,0,0.095237,0.039478,1.56e-06,ok,0
DijkstraPrims,11,1321,432,570672,0.0359515,7.32471e+06,53.6602,53.6602,3145,0,0,0,0,0,0.03596,0,-8.504e-06,ok,0
BBMSCore,11,1321,432,570672,2.62128,7.32471e+06,53.6602,53.6602,3354,0,0,0,0,11,2.61747,0.003386,0.000425712,ok,1
BBMSInter,11,1321,432,570672,0.1818,7.32471e+06,53.6602,53.6602,7813,0,0,0,0,2,0.162239,0.019523,3.845e-05,ok,1
BBMSDppInstant,11,1321,432,570672,0.118007,7.32471e+06,53.6602,123.312,30723,0,0,0,0,1,0.087663,0.03033,1.4351e-05,ok,1
BBMSDppStepwise,11,1321,432,570672,0.134513,7.32471e+06,53.6602,119.336,29699,0,0,0,0,1,0.104949,0.029552,1.157e-05,ok,1
DijkstraPrims,11,1321,432,570672,0.0360619,7.32471e+06,53.6602,53.6602,3145,0,0,0,0,1,0.022964,0.013086,1.187e-05,ok,1
