algorithm,N,sample,runtime_s,frechet_dist,ok
BBMSDppInstant,6000,9,8.08922,1000.29,True
DijkstraPrims,7000,3,8.23285,1000.6,True
DijkstraPrims,7000,4,8.1764,1000.83,True
DijkstraPrims,7000,5,8.24336,1000.68,True
DijkstraPrims,7000,6,8.24129,1000.21,True
DijkstraPrims,7000,7,8.22399,999.313,True
DijkstraPrims,7000,8,8.65836,1000.1,True
DijkstraPrims,7000,9,8.16023,999.134,True
BBMSInter,7000,3,5.69426,1000.6,True
BBMSInter,7000,4,7.81818,1000.83,True
BBMSInter,7000,5,7.91027,1000.68,True
BBMSInter,7000,6,5.63343,1000.21,True
BBMSInter,7000,7,8.02598,999.313,True
BBMSInter,7000,8,8.01905,1000.1,True
BBMSInter,7000,9,9.08343,999.134,True
BBMSDppStepwise,7000,3,11.494,1000.6,True
BBMSDppStepwise,7000,4,11.3721,1000.83,True
BBMSDppStepwise,7000,5,11.3212,1000.68,True
BBMSDppStepwise,7000,6,11.2982,1000.21,True
BBMSDppStepwise,7000,7,11.4327,999.313,True
BBMSDppStepwise,7000,8,11.491,1000.1,True
BBMSDppStepwise,7000,9,11.4888,999.134,True
BBMSCore,7000,3,34.205,1000.6,True
BBMSCore,7000,4,39.7467,1000.83,True
BBMSCore,7000,5,35.0482,1000.68,True
BBMSCore,7000,6,35.485,1000.21,True
BBMSCore,7000,7,41.2691,999.313,True
BBMSCore,7000,8,39.7747,1000.1,True
BBMSCore,7000,9,46.3242,999.134,True
BBMSDppInstant,7000,3,11.983,1000.6,True
BBMSDppInstant,7000,4,11.9953,1000.83,True
BBMSDppInstant,7000,5,11.6867,1000.68,True
BBMSDppInstant,7000,6,11.7799,1000.21,True
BBMSDppInstant,7000,7,11.8887,999.313,True
BBMSDppInstant,7000,8,12.0025,1000.1,True
