algorithm,N,sample,runtime_s,frechet_dist,ok
BBMSCore,3000,4,2.9987,999.288,True
BBMSCore,3000,5,3.03047,999.215,True
BBMSCore,3000,6,2.77146,1000.63,True
BBMSCore,3000,7,2.76558,999.218,True
BBMSCore,3000,8,2.18834,999.64,True
BBMSCore,3000,9,2.90549,999.831,True
BBMSDppInstant,3000,3,1.52937,999.262,True
BBMSDppInstant,3000,4,1.59145,999.288,True
BBMSDppInstant,3000,5,1.57404,999.215,True
BBMSDppInstant,3000,6,1.57631,1000.63,True
BBMSDppInstant,3000,7,1.55207,999.218,True
BBMSDppInstant,3000,8,1.56725,999.64,True
BBMSDppInstant,3000,9,1.57121,999.831,True
DijkstraPrims,4000,3,2.16757,1000.65,True
DijkstraPrims,4000,4,2.17341,999.763,True
DijkstraPrims,4000,5,2.20142,999.859,True
DijkstraPrims,4000,6,2.19749,1000.37,True
DijkstraPrims,4000,7,2.17535,999.955,True
DijkstraPrims,4000,8,2.2984,1000.24,True
DijkstraPrims,4000,9,2.18815,1000.2,True
BBMSInter,4000,3,1.65209,1000.65,True
BBMSInter,4000,4,1.42838,999.763,True
BBMSInter,4000,5,1.58988,999.859,True
BBMSInter,4000,6,1.55803,1000.37,True
BBMSInter,4000,7,1.71771,999.955,True
BBMSInter,4000,8,1.47046,1000.24,True
BBMSInter,4000,9,1.55646,1000.2,True
BBMSDppStepwise,4000,3,3.32667,1000.65,True
BBMSDppStepwise,4000,4,3.31644,999.763,True
BBMSDppStepwise,4000,5,3.3392,999.859,True
BBMSDppStepwise,4000,6,3.29809,1000.37,True
BBMSDppStepwise,4000,7,3.28595,999.955,True
BBMSDppStepwise,4000,8,3.3141,1000.24,True
BBMSDppStepwise,4000,9,3.31547,1000.2,True
BBMSCore,4000,3,6.93728,1000.65,True
BBMSCore,4000,4,6.29735,999.763,True
BBMSCore,4000,5,6.04918,999.859,True
BBMSCore,4000,6,6.04239,1000.37,True
BBMSCore,4000,7,6.17151,999.955,True
BBMSCore,4000,8,5.7114,1000.24,True
BBMSCore,4000,9,6.19191,1000.2,True
BBMSDppInstant,4000,3,3.07713,1000.65,True
BBMSDppInstant,4000,4,3.10822,999.763,True
BBMSDppInstant,4000,5,3.07126,999.859,True
BBMSDppInstant,4000,6,3.09379,1000.37,True
BBMSDppInstant,4000,7,3.08682,999.955,True
BBMSDppInstant,4000,8,3.1447,1000.24,True
BBMSDppInstant,4000,9,3.04531,1000.2,True
DijkstraPrims,5000,3,3.73362,999.449,True
DijkstraPrims,5000,4,3.74943,1000.41,True
DijkstraPrims,5000,5,3.6672,999.991,True
DijkstraPrims,5000,6,3.72525,1000.35,True
DijkstraPrims,5000,7,3.74898,1000.76,True
DijkstraPrims,5000,8,3.77413,999.943,True
DijkstraPrims,5000,9,3.72697,999.37,True
BBMSInter,5000,3,2.66292,999.449,True
BBMSInter,5000,4,2.91509,1000.41,True
BBMSInter,5000,5,2.42447,999.991,True
BBMSInter,5000,6,3.3744,1000.35,True
BBMSInter,5000,7,2.59645,1000.76,True
BBMSInter,5000,8,2.48032,999.943,True
BBMSInter,5000,9,3.40793,999.37,True
BBMSDppStepwise,5000,3,5.32767,999.449,True
BBMSDppStepwise,5000,4,5.39368,1000.41,True
BBMSDppStepwise,5000,5,5.38038,999.991,True
BBMSDppStepwise,5000,6,5.40655,1000.35,True
BBMSDppStepwise,5000,7,5.31075,1000.76,True
BBMSDppStepwise,5000,8,5.3468,999.943,True
BBMSDppStepwise,5000,9,5.46082,999.37,True
BBMSCore,5000,3,12.6669,999.449,True
BBMSCore,5000,4,14.2236,1000.41,True
BBMSCore,5000,5,10.1354,999.991,True
BBMSCore,5000,6,14.6835,1000.35,True
BBMSCore,5000,7,10.9414,1000.76,True
BBMSCore,5000,8,10.9341,999.943,True
BBMSCore,5000,9,16.318,999.37,True
BBMSDppInstant,5000,3,5.27318,999.449,True
BBMSDppInstant,5000,4,5.22441,1000.41,True
BBMSDppInstant,5000,5,5.18997,999.991,True
BBMSDppInstant,5000,6,5.25358,1000.35,True
BBMSDppInstant,5000,7,5.05255,1000.76,True
BBMSDppInstant,5000,8,5.24639,999.943,True
BBMSDppInstant,5000,9,5.33192,999.37,True
DijkstraPrims,6000,3,5.74215,999.854,True
DijkstraPrims,6000,4,5.7453,999.329,True
DijkstraPrims,6000,5,5.76469,1000.55,True
DijkstraPrims,6000,6,5.75951,1000.0,True
DijkstraPrims,6000,7,5.70703,999.776,True
DijkstraPrims,6000,8,5.80821,1000.88,True
DijkstraPrims,6000,9,5.76733,1000.29,True
BBMSInter,6000,3,4.55055,999.854,True
BBMSInter,6000,4,5.76432,999.329,True
BBMSInter,6000,5,3.80491,1000.55,True
BBMSInter,6000,6,4.98338,1000.0,True
BBMSInter,6000,7,4.89435,999.776,True
BBMSInter,6000,8,3.35851,1000.88,True
BBMSInter,6000,9,3.71235,1000.29,True
BBMSDppStepwise,6000,3,8.14724,999.854,True
BBMSDppStepwise,6000,4,8.12848,999.329,True
BBMSDppStepwise,6000,5,8.18287,1000.55,True
BBMSDppStepwise,6000,6,8.13194,1000.0,True
BBMSDppStepwise,6000,7,8.01614,999.776,True
BBMSDppStepwise,6000,8,8.06745,1000.88,True
BBMSDppStepwise,6000,9,8.14211,1000.29,True
BBMSCore,6000,3,24.2264,999.854,True
BBMSCore,6000,4,24.1358,999.329,True
BBMSCore,6000,5,24.5299,1000.55,True
BBMSCore,6000,6,25.4133,1000.0,True
BBMSCore,6000,7,20.8563,999.776,True
BBMSCore,6000,8,17.2512,1000.88,True
BBMSCore,6000,9,21.7356,1000.29,True
BBMSDppInstant,6000,3,8.3029,999.854,True
BBMSDppInstant,6000,4,7.83368,999.329,True
BBMSDppInstant,6000,5,7.91221,1000.55,True
BBMSDppInstant,6000,6,8.16808,1000.0,True
BBMSDppInstant,6000,7,7.99009,999.776,True
BBMSDppInstant,6000,8,7.7489,1000.88,True
