algorithm,N,sample,frechet_dist,nca_regular_hops,nca_shortcut_hops,total_nca_steps,shortcuts_written,dead_paths_pruned,shortcuts_extended,dead_path_walk_steps,heap_pushes,heap_pops,cells_processed,pct_cells_explored,status
DijkstraPrims,30000,0,0,0,0,0,0,0,0,0,89998,30000,30000,0.00333333,ok
DijkstraPrims,30000,1,0,0,0,0,0,0,0,0,89998,30000,30000,0.00333333,ok
DijkstraPrims,30000,2,0,0,0,0,0,0,0,0,89998,30000,30000,0.00333333,ok
DijkstraPrims,30000,3,0,0,0,0,0,0,0,0,89998,30000,30000,0.00333333,ok
DijkstraPrims,30000,4,0,0,0,0,0,0,0,0,89998,30000,30000,0.00333333,ok
DijkstraPrims,50000,0,0,0,0,0,0,0,0,0,149998,50000,50000,0.002,ok
DijkstraPrims,50000,1,0,0,0,0,0,0,0,0,149998,50000,50000,0.002,ok
DijkstraPrims,50000,2,0,0,0,0,0,0,0,0,149998,50000,50000,0.002,ok
DijkstraPrims,50000,3,0,0,0,0,0,0,0,0,149998,50000,50000,0.002,ok
DijkstraPrims,50000,4,0,0,0,0,0,0,0,0,149998,50000,50000,0.002,ok
BBMSInter,18000,0,0,402054956,10394239380,10796294336,647939746,0,0,0,0,0,324000000,100,ok
BBMSDppInstant,18000,0,0,402054956,1636078536,2038133492,647939746,134672732,521148002,134672732,0,0,324000000,100,ok
BBMSInter,18000,1,0,402327768,10144720926,10547048694,647955068,0,0,0,0,0,324000000,100,ok
BBMSDppInstant,18000,1,0,402327768,1635689026,2038016794,647955068,134710766,525723390,134710766,0,0,324000000,100,ok
BBMSInter,18000,2,0,401947076,10292712050,10694659126,647955552,0,0,0,0,0,324000000,100,ok
BBMSDppInstant,18000,2,0,401947076,1636087438,2038034514,647955552,134733792,522484122,134733792,0,0,324000000,100,ok
BBMSInter,18000,3,0,402203600,9629554280,10031757880,647957954,0,0,0,0,0,324000000,100,ok
BBMSDppInstant,18000,3,0,402203600,1635730376,2037933976,647957954,134774102,522445126,134774102,0,0,324000000,100,ok
BBMSInter,18000,4,0,402387676,10128466468,10530854144,647953134,0,0,0,0,0,324000000,100,ok
BBMSDppInstant,18000,4,0,402387676,1635633334,2038021010,647953134,134615880,521264402,134615880,0,0,324000000,100,ok
