algorithm,N,sample,runtime_s,frechet_dist,maxrss_before_mb,maxrss_after_mb,minor_faults,major_faults,block_input_ops,block_output_ops,voluntary_ctx_switches,involuntary_ctx_switches,user_time_s,sys_time_s,blocked_time_s,status,repeat
BBMSCore,830,2,0.178942,999.95,6.75,19.3672,4052,0,0,0,0,3,0.169293,0.009611,3.8454e-05,ok,0
BBMSInter,830,2,0.0714984,999.95,6.75,40.3672,9434,0,0,0,0,1,0.071491,0,7.401e-06,ok,0
BBMSDppInstant,830,2,0.194908,999.95,6.75,155.93,39200,0,0,0,0,1,0.175038,0.019856,1.3653e-05,ok,0
BBMSDppStepwise,830,2,0.211754,999.95,6.75,150.473,37820,0,0,0,0,1,0.152971,0.058773,9.551e-06,ok,0
DijkstraPrims,830,2,0.14767,999.95,6.75,32.1602,9655,0,0,0,0,2,0.137564,0.010095,1.0995e-05,ok,0
BBMSCore,830,2,0.177706,999.95,6.75,19.3633,4052,0,0,0,0,1,0.177608,0,9.783e-05,ok,1
BBMSInter,830,2,0.0710903,999.95,6.75,40.3633,9434,0,0,0,0,1,0.061732,0.009348,1.0339e-05,ok,1
BBMSDppInstant,830,2,0.193966,999.95,6.75,155.926,39200,0,0,0,0,1,0.134674,0.059283,8.798e-06,ok,1
BBMSDppStepwise,830,2,0.211829,999.95,6.75,150.465,37820,0,0,0,0,3,0.162818,0.048982,2.9391e-05,ok,1
DijkstraPrims,830,2,0.146555,999.95,6.75,32.1641,9655,0,0,0,0,1,0.116483,0.030068,3.757e-06,ok,1
BBMSCore,830,2,0.177413,999.95,6.75,19.2617,4052,0,0,0,0,3,0.177371,0,4.1692e-05,ok,2
BBMSInter,830,2,0.0718222,999.95,6.75,40.3672,9434,0,0,0,0,0,0.07183,0,-7.785e-06,ok,2
BBMSDppInstant,830,2,0.195075,999.95,6.75,155.93,39200,0,0,0,0,2,0.135435,0.059629,1.0728e-05,ok,2
BBMSDppStepwise,830,2,0.212383,999.95,6.75,150.461,37820,0,0,0,0,1,0.160919,0.051455,9.078e-06,ok,2
DijkstraPrims,830,2,0.146529,999.95,6.75,32.1562,9655,0,0,0,0,1,0.127743,0.018785,1.227e-06,ok,2
BBMSCore,830,3,0.198035,998.456,6.75391,19.375,4052,0,0,0,0,2,0.198019,0,1.5534e-05,ok,0
BBMSInter,830,3,0.069308,998.456,6.75781,40.3672,9434,0,0,0,0,1,0.058763,0.010536,9.009e-06,ok,0
BBMSDppInstant,830,3,0.195126,998.456,6.75781,155.805,39181,0,0,0,0,2,0.153081,0.041998,4.7297e-05,ok,0
BBMSDppStepwise,830,3,0.212964,998.456,6.75781,150.402,37802,0,0,0,0,2,0.143743,0.069198,2.2927e-05,ok,0
DijkstraPrims,830,3,0.14618,998.456,6.75781,32.1133,9640,0,0,0,0,1,0.126079,0.020096,4.593e-06,ok,0
BBMSCore,830,3,0.199343,998.456,6.75781,19.3672,4052,0,0,0,0,2,0.18914,0.010189,1.4116e-05,ok,1
BBMSInter,830,3,0.0702815,998.456,6.75781,40.3867,9434,0,0,0,0,1,0.060927,0.009345,9.464e-06,ok,1
BBMSDppInstant,830,3,0.195165,998.456,6.75781,155.793,39181,0,0,0,0,1,0.165217,0.029939,9.479e-06,ok,1
BBMSDppStepwise,830,3,0.213371,998.456,6.75781,150.406,37802,0,0,0,0,2,0.163803,0.049512,5.5644e-05,ok,1
DijkstraPrims,830,3,0.14812,998.456,6.75781,32.1133,9640,0,0,0,0,0,0.148131,0,-1.0506e-05,ok,1
BBMSCore,830,3,0.198264,998.456,6.75781,19.3672,4052,0,0,0,0,2,0.198254,0,1.0004e-05,ok,2
BBMSInter,830,3,0.0698702,998.456,6.75781,40.3672,9434,0,0,0,0,1,0.059255,0.010617,-1.787e-06,ok,2
BBMSDppInstant,830,3,0.196708,998.456,6.75781,155.793,39181,0,0,0,0,1,0.146397,0.050298,1.2956e-05,ok,2
BBMSDppStepwise,830,3,0.213505,998.456,6.75781,150.398,37802,0,0,0,0,3,0.192717,0.020766,2.2232e-05,ok,2
DijkstraPrims,830,3,0.149921,998.456,6.75781,32.1133,9640,0,0,0,0,1,0.129322,0.020594,4.922e-06,ok,2
BBMSCore,830,4,0.213226,1002.66,6.76172,19.3672,4052,0,0,0,0,2,0.213211,0,1.4819e-05,ok,0
BBMSInter,830,4,0.0800219,1002.66,6.76172,40.3672,9434,0,0,0,0,1,0.070525,0.009487,9.908e-06,ok,0
BBMSDppInstant,830,4,0.196401,1002.66,6.76172,155.637,39170,0,0,0,0,3,0.145951,0.050424,2.6323e-05,ok,0
BBMSDppStepwise,830,4,0.216112,1002.66,6.76172,150.363,37794,0,0,0,0,0,0.154095,0.062029,-1.1587e-05,ok,0
DijkstraPrims,830,4,0.148018,1002.66,6.76172,32.1602,9651,0,0,0,0,2,0.13776,0.010222,3.618e-05,ok,0
BBMSCore,830,4,0.213794,1002.66,6.76562,19.2344,4052,0,0,0,0,1,0.213796,0,-2.328e-06,ok,1
BBMSInter,830,4,0.0807928,1002.66,6.76562,40.375,9434,0,0,0,0,0,0.071231,0.00957,-8.164e-06,ok,1
BBMSDppInstant,830,4,0.196575,1002.66,6.76562,155.695,39170,0,0,0,0,1,0.176381,0.020185,8.501e-06,ok,1
BBMSDppStepwise,830,4,0.212114,1002.66,6.76562,150.355,37794,0,0,0,0,1,0.19233,0.019772,1.1683e-05,ok,1
DijkstraPrims,830,4,0.145861,1002.66,6.76562,32.1484,9651,0,0,0,0,3,0.14584,0,2.0566e-05,ok,1
BBMSCore,830,4,0.212536,1002.66,6.76562,19.3398,4052,0,0,0,0,1,0.212531,0,5.126e-06,ok,2
BBMSInter,830,4,0.0783875,1002.66,6.76562,40.3867,9434,0,0,0,0,1,0.078377,0,1.0468e-05,ok,2
BBMSDppInstant,830,4,0.195349,1002.66,6.76562,155.695,39170,0,0,0,0,2,0.175266,0.020064,1.8673e-05,ok,2
BBMSDppStepwise,830,4,0.212819,1002.66,6.76562,150.348,37794,0,0,0,0,2,0.163208,0.049572,3.8516e-05,ok,2
DijkstraPrims,830,4,0.148125,1002.66,6.76562,32.1602,9651,0,0,0,0,1,0.137884,0.010231,9.538e-06,ok,2
BBMSCore,1400,0,0.862294,1004.55,6.76953,48.4922,11510,0,0,0,0,3,0.852218,0.010056,2.0053e-05,ok,0
BBMSInter,1400,0,0.268133,1004.55,6.76953,108.367,26822,0,0,0,0,0,0.228007,0.040136,-9.949e-06,ok,0
BBMSDppInstant,1400,0,0.611647,1004.55,6.76953,437.695,111587,0,0,0,0,1,0.470649,0.140998,1.87e-07,ok,0
BBMSDppStepwise,1400,0,0.638666,1004.55,6.76953,421.652,107457,0,0,0,0,2,0.508389,0.130266,1.1212e-05,ok,0
