algorithm,N,sample,runtime_s,frechet_dist,maxrss_before_mb,maxrss_after_mb,minor_faults,major_faults,block_input_ops,block_output_ops,voluntary_ctx_switches,involuntary_ctx_switches,user_time_s,sys_time_s,blocked_time_s,status,repeat
BBMSCore,830,2,2.35465,2000,6.37109,19.3672,4054,0,0,0,0,12,2.3344,0.019982,0.000268371,ok,2
BBMSInter,830,2,5.40239,2000,6.37109,40.3672,9436,0,0,0,0,13,5.39168,0.010009,0.000698615,ok,2
BBMSDppInstant,830,2,0.193526,2000,6.37109,152.938,38451,0,0,0,0,1,0.183666,0.009852,7.503e-06,ok,2
BBMSDppStepwise,830,2,0.192006,2000,6.37109,152.941,38451,0,0,0,0,1,0.143135,0.048863,8.244e-06,ok,2
DijkstraPrims,830,2,0.14913,2000,6.37109,35.2539,11473,0,0,0,0,3,0.138929,0.010169,3.25e-05,ok,2
BBMSCore,830,3,2.35564,2000,6.375,19.3555,4054,0,0,0,0,11,2.3491,0.005923,0.000615108,ok,0
BBMSInter,830,3,5.08898,2000,6.375,40.3398,9436,0,0,0,0,21,5.07297,0.015776,0.000236933,ok,0
BBMSDppInstant,830,3,0.193335,2000,6.375,152.941,38451,0,0,0,0,1,0.124208,0.069122,4.615e-06,ok,0
BBMSDppStepwise,830,3,0.192614,2000,6.375,152.949,38451,0,0,0,0,1,0.13358,0.059026,8.361e-06,ok,0
DijkstraPrims,830,3,0.149871,2000,6.375,35.2812,11473,0,0,0,0,1,0.139588,0.010265,1.8181e-05,ok,0
BBMSCore,830,3,2.35218,2000,6.375,19.3672,4054,0,0,0,0,11,2.35172,0,0.000462725,ok,1
BBMSInter,830,3,5.15272,2000,6.375,40.3516,9436,0,0,0,0,20,5.14213,0.010012,0.000575068,ok,1
BBMSDppInstant,830,3,0.195085,2000,6.375,152.945,38451,0,0,0,0,0,0.115363,0.079728,-6.323e-06,ok,1
BBMSDppStepwise,830,3,0.194241,2000,6.375,152.941,38451,0,0,0,0,1,0.152461,0.041779,7.9e-07,ok,1
DijkstraPrims,830,3,0.182469,2000,6.37891,35.2656,11473,0,0,0,0,1,0.151353,0.03111,6.046e-06,ok,1
BBMSCore,830,3,2.35568,2000,6.37891,19.3711,4054,0,0,0,0,11,2.34519,0.009997,0.000493023,ok,2
BBMSInter,830,3,4.88902,2000,6.37891,40.3711,9436,0,0,0,0,21,4.88856,0,0.000461998,ok,2
BBMSDppInstant,830,3,0.192449,2000,6.37891,152.945,38451,0,0,0,0,1,0.140699,0.05175,4.29e-07,ok,2
BBMSDppStepwise,830,3,0.192697,2000,6.37891,152.938,38451,0,0,0,0,1,0.147635,0.045055,7.104e-06,ok,2
DijkstraPrims,830,3,0.149546,2000,6.37891,35.2773,11473,0,0,0,0,1,0.144084,0.005458,3.848e-06,ok,2
BBMSCore,830,4,2.34291,2000,6.38281,19.3672,4054,0,0,0,0,11,2.34286,0,5.0359e-05,ok,0
